X,C_W1,C_W2,t,N
81.8046261210672,0.0,0.0,42.95833333333307,20.0
81.57429489374938,0.0,0.0,42.99999999999974,20.0
81.42820431314692,0.0,0.0,43.0416666666664,20.0
81.24563156929443,0.0,0.0,43.083333333333066,20.0
80.9988865690313,0.0,0.0,43.12499999999973,20.0
80.75012195133834,0.0,0.0,43.166666666666394,20.0
80.5458651260817,0.0,0.0,43.20833333333306,20.0
80.29382791085737,0.0,0.0,43.24999999999972,20.0
80.10749454290486,0.0,0.0,43.29166666666639,20.0
79.90661068342327,0.0,0.0,43.33333333333305,20.0
79.71773590639414,0.0,0.0,43.374999999999716,20.0
79.52354294732281,0.0,0.0,43.41666666666638,20.0
79.32163786511698,0.0,0.0,43.458333333333044,20.0
79.1443286938262,0.0,0.0,43.49999999999971,20.0
78.97851319107166,0.0,0.0,43.54166666666637,20.0
78.80975456455847,0.0,0.0,43.58333333333304,20.0
78.68114882772063,0.0,0.0,43.6249999999997,20.0
78.57700942248114,0.0,0.0,43.666666666666366,20.0
78.39498763633452,0.0,0.0,43.70833333333303,20.0
78.29128153940522,0.0,0.0,43.749999999999694,20.0
78.12022258406606,0.0,0.0,43.79166666666636,20.0
78.02433864491852,0.0,0.0,43.83333333333302,20.0
77.95752962372165,0.0,0.0,43.87499999999969,20.0
77.84400384068641,0.0,0.0,43.91666666666635,20.0
77.70868551630848,0.0,0.0,43.958333333333016,20.0
77.62328623579982,0.0,0.0,43.99999999999968,20.0
77.51553082745313,0.0,0.0,44.041666666666345,20.0
77.45055622452317,0.0,0.0,44.08333333333301,20.0
77.33784604977456,0.0,0.0,44.12499999999967,20.0
77.2045804058432,0.0,0.0,44.16666666666634,20.0
77.12840196550879,0.0,0.0,44.208333333333,20.0
77.06631397804719,0.0,0.0,44.249999999999666,20.0
76.92759643322859,0.0,0.0,44.29166666666633,20.0
76.85041215485943,0.0,0.0,44.333333333332995,20.0
76.77060338093028,0.0,0.0,44.37499999999966,20.0
76.68402660454647,0.0,0.0,44.41666666666632,20.0
76.6381576607455,0.0,0.0,44.45833333333299,20.0
76.5758262760383,0.0,0.0,44.49999999999965,20.0
76.50928783986295,0.0,0.0,44.541666666666316,20.0
76.47679053940404,0.0,0.0,44.58333333333298,20.0
76.36588039721728,0.0,0.0,44.624999999999645,20.0
76.3065676906526,0.0,0.0,44.66666666666631,20.0
76.25220354714173,0.0,0.0,44.70833333333297,20.0
76.17342201694032,0.0,0.0,44.74999999999964,20.0
76.07544622790473,0.0,0.0,44.7916666666663,20.0
76.07323984661718,0.0,0.0,44.833333333332966,20.0
76.01869155493938,0.0,0.0,44.87499999999963,20.0
76.03308755738708,0.0,0.0,44.916666666666295,20.0
76.01985772184221,0.0,0.0,44.95833333333296,20.0
75.96131930125597,0.0,0.0,44.99999999999962,20.0
75.94678514614732,0.0,0.0,45.04166666666629,20.0
75.85557681008693,0.0,0.0,45.08333333333295,20.0
75.83218065177941,0.0,0.0,45.124999999999616,20.0
75.81515469616667,0.0,0.0,45.16666666666628,20.0
75.74460445795599,0.0,0.0,45.208333333332945,20.0
75.71885619253462,0.0,0.0,45.24999999999961,20.0
75.68667698412452,0.0,0.0,45.29166666666627,20.0
75.68420692344681,0.0,0.0,45.33333333333294,20.0
75.67519424855037,0.0,0.0,45.3749999999996,20.0
75.65715185339538,0.0,0.0,45.416666666666266,20.0
75.68011622299449,0.0,0.0,45.45833333333293,20.0
75.65024267439796,0.0,0.0,45.499999999999595,20.0
75.61156888299469,0.0,0.0,45.54166666666626,20.0
75.56511997209722,0.0,0.0,45.583333333332924,20.0
75.60244387723608,0.0,0.0,45.62499999999959,20.0
75.58510903370838,0.0,0.0,45.66666666666625,20.0
75.54582066318498,0.0,0.0,45.70833333333292,20.0
75.47026200185859,0.0,0.0,45.74999999999958,20.0
75.46277823874604,0.0,0.0,45.791666666666245,20.0
75.44007976436427,0.0,0.0,45.83333333333291,20.0
75.4792482333125,0.0,0.0,45.874999999999574,20.0
75.47104988221939,0.0,0.0,45.91666666666624,20.0
75.4517470247017,0.0,0.0,45.9583333333329,20.0
75.49256355027637,0.0,0.0,45.99999999999957,20.0
75.47379706611629,0.0,0.0,46.04166666666623,20.0
75.43188739281655,0.0,0.0,46.083333333332895,20.0
75.46928483097953,0.0,0.0,46.12499999999956,20.0
75.36946644112037,0.0,0.0,46.166666666666224,20.0
75.3543233016169,0.0,0.0,46.20833333333289,20.0
75.34171932399535,0.0,0.0,46.24999999999955,20.0
75.3191971478806,0.0,0.0,46.29166666666622,20.0
75.32314329904081,0.0,0.0,46.33333333333288,20.0
75.31261558255625,0.0,0.0,46.374999999999545,20.0
75.28046646842532,0.0,0.0,46.41666666666621,20.0
75.27677635657106,0.0,0.0,46.458333333332874,20.0
75.29370209440653,0.0,0.0,46.49999999999954,20.0
75.31864676377202,0.0,0.0,46.5416666666662,20.0
75.32897121688062,0.0,0.0,46.58333333333287,20.0
75.34013377719465,0.0,0.0,46.62499999999953,20.0
75.32709822475971,0.0,0.0,46.666666666666195,20.0
75.33422801909718,0.0,0.0,46.70833333333286,20.0
75.29753742549768,0.0,0.0,46.749999999999524,20.0
75.32505920866465,0.0,0.0,46.79166666666619,20.0
75.35970649825423,0.0,0.0,46.83333333333285,20.0
75.38711399361364,0.0,0.0,46.87499999999952,20.0
75.38243261206402,0.0,0.0,46.91666666666618,20.0
75.38189299290725,0.0,0.0,46.958333333332845,20.0
75.32283264848836,0.0,0.0,46.99999999999951,20.0
75.29287592540523,0.0,0.0,47.041666666666174,20.0
75.26941371176156,0.0,0.0,47.08333333333284,20.0
75.28580171121159,0.0,0.0,47.1249999999995,20.0
75.30236516611843,0.0,0.0,47.16666666666617,20.0
75.30384627567815,0.0,0.0,47.20833333333283,20.0
75.2859947141277,0.0,0.0,47.249999999999496,20.0
75.30476356539971,0.0,0.0,47.29166666666616,20.0
75.31652638418115,0.0,0.0,47.333333333332824,20.0
75.27493889679296,0.0,0.0,47.37499999999949,20.0
75.28734564218536,0.0,0.0,47.41666666666615,20.0
75.29648382756805,0.0,0.0,47.45833333333282,20.0
75.26498921658194,0.0,0.0,47.49999999999948,20.0
75.28326114039459,0.0,0.0,47.541666666666146,20.0
75.32114657116968,0.0,0.0,47.58333333333281,20.0
75.30127412463303,0.0,0.0,47.624999999999474,20.0
75.38122910290492,0.0,0.0,47.66666666666614,20.0
75.34943114735411,0.0,0.0,47.7083333333328,20.0
75.37551516044391,0.0,0.0,47.74999999999947,20.0
75.40040086077215,0.0,0.0,47.79166666666613,20.0
75.40342956423174,0.0,0.0,47.833333333332796,20.0
75.3997600850122,0.0,0.0,47.87499999999946,20.0
75.36482515617024,0.0,0.0,47.916666666666124,20.0
75.39891033361727,0.0,0.0,47.95833333333279,20.0
75.42216360718038,0.0,0.0,47.99999999999945,20.0
75.3640804369425,0.0,0.0,48.04166666666612,20.0
75.34269874185478,0.0,0.0,48.08333333333278,20.0
75.35089799775571,0.0,0.0,48.124999999999446,20.0
75.41669962739317,0.0,0.0,48.16666666666611,20.0
75.40378560866635,0.0,0.0,48.208333333332774,20.0
78.97498635600175,0.0,0.0,48.24999999999944,19.0
81.42676110806212,0.0,0.0,48.2916666666661,19.0
83.1633085346154,0.0,0.0,48.33333333333277,19.0
84.2662852810757,0.0,0.0,48.37499999999943,19.0
85.02726598041941,0.0,0.0,48.416666666666096,19.0
85.43256543422586,0.0,0.0,48.45833333333276,19.0
85.6842911843062,0.0,0.0,48.499999999999424,19.0
85.75885150321561,0.0,0.0,48.54166666666609,19.0
85.6892776092097,0.0,0.0,48.58333333333275,19.0
85.58503311775979,0.0,0.0,48.62499999999942,19.0
85.44988125679195,0.0,0.0,48.66666666666608,19.0
85.26028476994854,0.0,0.0,48.708333333332746,19.0
85.01691080298887,0.0,0.0,48.74999999999941,19.0
84.81447404520391,0.0,0.0,48.791666666666075,19.0
84.54176416092763,0.0,0.0,48.83333333333274,19.0
84.33155503017873,0.0,0.0,48.8749999999994,19.0
84.11077133375072,0.0,0.0,48.91666666666607,19.0
87.59889650110263,0.0,0.0,48.95833333333273,18.0
90.0708902163427,0.0,0.0,48.999999999999396,18.0
91.74520445724778,0.0,0.0,49.04166666666606,18.0
92.83425110317204,0.0,0.0,49.083333333332725,18.0
93.47674950339454,0.0,0.0,49.12499999999939,18.0
93.84312898629355,0.0,0.0,49.16666666666605,18.0
93.94631062578462,0.0,0.0,49.20833333333272,18.0
93.90435923744144,0.0,0.0,49.24999999999938,18.0
93.73316950535349,0.0,0.0,49.291666666666046,18.0
93.45630657443289,0.0,0.0,49.33333333333271,18.0
93.12656930533032,0.0,0.0,49.374999999999375,18.0
92.75892040025323,0.0,0.0,49.41666666666604,18.0
92.40255363844751,0.0,0.0,49.4583333333327,18.0
92.05691468708946,0.0,0.0,49.49999999999937,18.0
91.69665359459017,0.0,0.0,49.54166666666603,18.0
91.29632374847776,0.0,0.0,49.583333333332696,18.0
90.92932496304465,0.0,0.0,49.62499999999936,18.0
90.58278068933767,0.0,0.0,49.666666666666025,18.0
90.16195599655026,0.0,0.0,49.70833333333269,18.0
89.80952946465443,0.0,0.0,49.74999999999935,18.0
89.43649367799672,0.0,0.0,49.79166666666602,18.0
89.10168110464785,0.0,0.0,49.83333333333268,18.0
